ชื่อย่อ,Company Name,ชื่อบริษัท,กลุ่มอุตสาหกรรม,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
NRF,NR INSTANT PRODUCE PUBLIC COMPANY LIMITED,บริษัท เอ็นอาร์ อินสแตนท์ โปรดิวซ์ จำกัด (มหาชน),Agro & Food Industry,,A,Yes,Yes,,,,,,
NVD,NIRVANA DEVELOPMENT PUBLIC COMPANY LIMITED,บริษัท เนอวานา ดีเวลลอปเม้นท์ จำกัด (มหาชน),Property & Construction,A**,AA,Yes,Yes,,,,,,
NYT,NAMYONG TERMINAL PUBLIC COMPANY LIMITED,บริษัท นามยง เทอร์มินัล จำกัด (มหาชน),Services,AA,A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
OR,PTT OIL AND RETAIL BUSINESS PUBLIC COMPANY LIMITED,บริษัท ปตท. น้ำมันและการค้าปลีก จำกัด (มหาชน),Resources,AAA,AAA,Yes,,,,,,,
ORI,ORIGIN PROPERTY PUBLIC COMPANY LIMITED,บริษัท ออริจิ้น พร็อพเพอร์ตี้ จำกัด (มหาชน),Property & Construction,AAA,AA,Yes,Yes,,,,,,
OSP,OSOTSPA PUBLIC COMPANY LIMITED,บริษัท โอสถสภา จำกัด (มหาชน),Agro & Food Industry,AA,AA,Yes,Yes,,,,,,
PEER,PEER FOR YOU PUBLIC COMPANY LIMITED,บริษัท เพียร์ ฟอร์ ยู จำกัด (มหาชน),Services,,A,Yes,Yes,Yes,,,,,
PAP,PACIFIC PIPE PUBLIC COMPANY LIMITED,บริษัท แปซิฟิกไพพ์ จำกัด (มหาชน),Industrials,,A,Yes,,,,,,,
PB,PRESIDENT BAKERY PUBLIC COMPANY LIMITED,บริษัท เพรซิเดนท์ เบเกอรี่ จำกัด (มหาชน),Agro & Food Industry,AAA,AA,,,,,,,,
PCC,PRECISE CORPORATION PUBLIC COMPANY LIMITED,บริษัท พรีไซซ คอร์ปอเรชั่น จำกัด (มหาชน),Industrials,A,,,,,,,,,
PCSGH,P.C.S. MACHINE GROUP HOLDING PUBLIC COMPANY LIMITED,บริษัท พี.ซี.เอส.แมชีน กรุ๊ปโฮลดิ้ง จำกัด (มหาชน),Industrials,A,BBB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
PDJ,PRANDA JEWELRY PUBLIC COMPANY LIMITED,บริษัท แพรนด้า จิวเวลรี่ จำกัด (มหาชน),Consumer Products,BBB,,,,,,,Yes,,Yes
PG,PEOPLE'S GARMENT PUBLIC COMPANY LIMITED,บริษัท ประชาอาภรณ์ จำกัด (มหาชน),Consumer Products,,,,,,,,,,Yes
PHOL,PHOL DHANYA PUBLIC COMPANY LIMITED,บริษัท ผลธัญญะ จำกัด (มหาชน),Industrials,A,A,,,Yes,Yes,,,,
PJW,PANJAWATTANA PLASTIC PUBLIC COMPANY LIMITED,บริษัท ปัญจวัฒนาพลาสติก จำกัด (มหาชน),Industrials,,A,Yes,,,,,,,
PLANB,PLAN B MEDIA PUBLIC COMPANY LIMITED,บริษัท แพลน บี มีเดีย จำกัด (มหาชน),Services,AA,AA,Yes,Yes,,,,,,
PM,PREMIER MARKETING PUBLIC COMPANY LIMITED,บริษัท พรีเมียร์ มาร์เก็ตติ้ง จำกัด (มหาชน),Agro & Food Industry,A,A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
PPP,PREMIER PRODUCTS PUBLIC COMPANY LIMITED,บริษัท พรีเมียร์ โพรดักส์ จำกัด (มหาชน),Property & Construction,,A,,Yes,Yes,Yes,Yes,,Yes,Yes
PPS,PROJECT PLANNING SERVICE PUBLIC COMPANY LIMITED,บริษัท โปรเจค แพลนนิ่ง เซอร์วิส จำกัด (มหาชน),Property & Construction,AA,AA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
PR9,PRARAM 9 HOSPITAL PUBLIC COMPANY LIMITED,บริษัท โรงพยาบาลพระรามเก้า จำกัด (มหาชน),Services,AAA,AAA,Yes,Yes,,,,,,
PRIME,PRIME ROAD POWER PUBLIC COMPANY LIMITED,บริษัท ไพร์ม โรด เพาเวอร์ จำกัด (มหาชน),Resources,BBB,,,,,,,,,
PSH,PRUKSA HOLDING PUBLIC COMPANY LIMITED,บริษัท พฤกษา โฮลดิ้ง จำกัด (มหาชน),Property & Construction,AA,BBB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
PSL,PRECIOUS SHIPPING PUBLIC COMPANY LIMITED,บริษัท พรีเชียส ชิพปิ้ง จำกัด (มหาชน),Services,AA,A,Yes,,,,,,,Yes
PT,PREMIER TECHNOLOGY PUBLIC COMPANY LIMITED,บริษัท พรีเมียร์ เทคโนโลยี จำกัด (มหาชน),Technology,,,,Yes,Yes,Yes,Yes,,,
PTG,PTG ENERGY PUBLIC COMPANY LIMITED,บริษัท พีทีจี เอ็นเนอยี จำกัด (มหาชน),Resources,,,,Yes,Yes,Yes,Yes,,,
PTT,PTT PUBLIC COMPANY LIMITED,บริษัท ปตท. จำกัด (มหาชน),Resources,AAA,AAA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes
PTTEP,PTT EXPLORATION AND PRODUCTION PUBLIC COMPANY LIMITED,บริษัท ปตท. สำรวจและผลิตปิโตรเลียม จำกัด (มหาชน),Resources,AA**,AAA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes
PTTGC,PTT GLOBAL CHEMICAL PUBLIC COMPANY LIMITED,บริษัท พีทีที โกลบอล เคมิคอล จำกัด (มหาชน),Industrials,AAA,AAA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Q-CON,QUALITY CONSTRUCTION PRODUCTS PUBLIC COMPANY LIMITED,บริษัท ควอลิตี้คอนสตรัคชั่นโปรดัคส์ จำกัด (มหาชน),Property & Construction,BBB,,,,,,,,,
QLT,QUALITECH PUBLIC COMPANY LIMITED,บริษัท ควอลลีเทค จำกัด (มหาชน),Services,BBB,,,,,,,,,
QTC,QTC ENERGY PUBLIC COMPANY LIMITED,บริษัท คิวทีซี เอนเนอร์ยี่ จำกัด (มหาชน),Industrials,AA,A,,,,,,,,Yes
RATCH,RATCH GROUP PUBLIC COMPANY LIMITED,บริษัท ราช กรุ๊ป จำกัด (มหาชน),Resources,AAA,AA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
RBF,R&B FOOD SUPPLY PUBLIC COMPANY LIMITED,บริษัท อาร์ แอนด์ บี ฟู้ด ซัพพลาย จำกัด (มหาชน),Agro & Food Industry,A,BBB,,,,,,,,
RS,RS PUBLIC COMPANY LIMITED,บริษัท อาร์เอส จำกัด (มหาชน),Services,,AA,Yes,Yes,,,,,,
S,SINGHA ESTATE PUBLIC COMPANY LIMITED,บริษัท สิงห์ เอสเตท จำกัด (มหาชน),Property & Construction,AA,A,Yes,Yes,Yes,Yes,,,,
S&J,S & J INTERNATIONAL ENTERPRISES PUBLIC COMPANY LIMITED,บริษัท เอส แอนด์ เจ อินเตอร์เนชั่นแนล เอนเตอร์ไพรส์ จำกัด (มหาชน),Consumer Products,AA,AA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
SABINA,SABINA PUBLIC COMPANY LIMITED,บริษัท ซาบีน่า จำกัด (มหาชน),Consumer Products,AAA,AAA,Yes,Yes,,,,,,
SAK,SAKSIAM LEASING PUBLIC COMPANY LIMITED,บริษัท ศักดิ์สยามลิสซิ่ง จำกัด (มหาชน),Financials,A,A,Yes,Yes,,,,,,
SAPPE,SAPPE PUBLIC COMPANY LIMITED,บริษัท เซ็ปเป้ จำกัด (มหาชน),Agro & Food Industry,A,BBB,Yes,,,,,,Yes,
SAT,SOMBOON ADVANCE TECHNOLOGY PUBLIC COMPANY LIMITED,บริษัท สมบูรณ์ แอ๊ดวานซ์ เทคโนโลยี จำกัด (มหาชน),Industrials,AA,AA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
SAWAD,SRISAWAD CORPORATION PUBLIC COMPANY LIMITED,บริษัท ศรีสวัสดิ์ คอร์ปอเรชั่น จำกัด (มหาชน),Financials,AA,BBB,Yes,,,,,,,
SC,SC ASSET CORPORATION PUBLIC COMPANY LIMITED,บริษัท เอสซี แอสเสท คอร์ปอเรชั่น จำกัด (มหาชน),Property & Construction,AA,AA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
SCB,SCB X PUBLIC COMPANY LIMITED,บริษัท เอสซีบี เอกซ์ จำกัด (มหาชน),Financials,AA,AA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
SCC,THE SIAM CEMENT PUBLIC COMPANY LIMITED,บริษัท ปูนซิเมนต์ไทย จำกัด(มหาชน),Property & Construction,AAA,AAA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
SCCC,SIAM CITY CEMENT PUBLIC COMPANY LIMITED,บริษัท ปูนซีเมนต์นครหลวง จำกัด (มหาชน),Property & Construction,AA,AA,Yes,Yes,Yes,Yes,,,,
SCG,RATCH PATHANA ENERGY PUBLIC COMPANY LIMITED,บริษัท ราชพัฒนา เอ็นเนอร์ยี จำกัด (มหาชน),Resources,AA,A,Yes,Yes,Yes,Yes,Yes,,,Yes
SCGD,SCG DÉCOR PUBLIC COMPANY LIMITED,บริษัท เอสซีจี เดคคอร์ จำกัด (มหาชน),Property & Construction,A,,,,,,,,,
SCGP,SCG PACKAGING PUBLIC COMPANY LIMITED,บริษัท เอสซีจี แพคเกจจิ้ง จำกัด (มหาชน),Industrials,AAA,AAA,Yes,Yes,,,,,,
SELIC,SELIC CORP PUBLIC COMPANY LIMITED,บริษัท ซีลิค คอร์พ จำกัด (มหาชน),Industrials,A,A,Yes,Yes,,,,,,
SENA,SENADEVELOPMENT PUBLIC COMPANY LIMITED,บริษัท เสนาดีเวลลอปเม้นท์ จำกัด (มหาชน),Property & Construction,BBB,,,,,,,,,
SFLEX,STARFLEX PUBLIC COMPANY LIMITED,บริษัท สตาร์เฟล็กซ์ จำกัด (มหาชน),Industrials,A,,,,,,,,,
SGC,SG CAPITAL PUBLIC COMPANY LIMITED,บริษัท เอสจี แคปปิตอล จำกัด (มหาชน),Financials,A,,,,,,,,,
SGP,SIAMGAS AND PETROCHEMICALS PUBLIC COMPANY LIMITED,บริษัท สยามแก๊ส แอนด์ ปิโตรเคมีคัลส์ จำกัด (มหาชน),Resources,AA,AA,,,,,,,,
SHR,S HOTELS AND RESORTS PUBLIC COMPANY LIMITED,บริษัท เอส โฮเทล แอนด์ รีสอร์ท จำกัด (มหาชน),Services,AA,A,Yes,,,,,,,
SICT,SILICON CRAFT TECHNOLOGY PUBLIC COMPANY LIMITED,บริษัท ซิลิคอน คราฟท์ เทคโนโลยี จำกัด (มหาชน),Technology,A,A,Yes,,,,,,,
SIRI,SANSIRI PUBLIC COMPANY LIMITED,บริษัท แสนสิริ จำกัด (มหาชน),Property & Construction,AAA,AA,Yes,Yes,Yes,,,,,
SITHAI,SRITHAI SUPERWARE  PUBLIC COMPANY LIMITED,บริษัท ศรีไทยซุปเปอร์แวร์ จำกัด (มหาชน),Industrials,A,A,,,,,,,,
SJWD,SCGJWD LOGISTICS PUBLIC COMPANY LIMITED,บริษัท เอสซีจี เจดับเบิ้ลยูดี โลจิสติกส์ จำกัด (มหาชน),Services,AAA,AA,Yes,Yes,Yes,Yes,Yes,,,
SKR,SIKARIN PUBLIC COMPANY LIMITED,บริษัท ศิครินทร์ จำกัด (มหาชน),Services,BBB,,,,,,,,,
SMPC,SAHAMITR PRESSURE CONTAINER PUBLIC COMPANY LIMITED,บริษัท สหมิตรถังแก๊ส จำกัด (มหาชน),Industrials,AA,AA,,,,,,,,
SNC,SNC FORMER PUBLIC COMPANY LIMITED,บริษัท เอส เอ็น ซี ฟอร์เมอร์ จำกัด (มหาชน),Industrials,A,A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
SNNP,SRINANAPORN MARKETING PUBLIC COMPANY LIMITED,บริษัท ศรีนานาพร มาร์เก็ตติ้ง จำกัด (มหาชน),Agro & Food Industry,A,,,,,,,,,
SNP,S & P SYNDICATE PUBLIC COMPANY LIMITED,บริษัท เอส แอนด์ พี ซินดิเคท จำกัด (มหาชน),Agro & Food Industry,AA,A,Yes,Yes,,,,,,
SO,SIAMRAJATHANEE PUBLIC COMPANY LIMITED,บริษัท สยามราชธานี จำกัด (มหาชน),Services,BBB,,,,,,,,,
SPALI,SUPALAI PUBLIC COMPANY LIMITED,บริษัท ศุภาลัย จำกัด (มหาชน),Property & Construction,A,AA,Yes,,Yes,Yes,Yes,Yes,Yes,Yes
SPI,SAHA PATHANA INTER-HOLDING PUBLIC COMPANY LIMITED,บริษัท สหพัฒนาอินเตอร์โฮลดิ้ง จำกัด (มหาชน),Services,A,A,Yes,,Yes,Yes,,,,
SSP,SERMSANG POWER CORPORATION PUBLIC COMPANY LIMITED,บริษัท เสริมสร้าง พาวเวอร์ คอร์ปอเรชั่น จำกัด (มหาชน),Resources,AA,,,,,,,,,
SSSC,SIAM STEEL SERVICE CENTER PUBLIC COMPANY LIMITED,บริษัท ศูนย์บริการเหล็กสยาม จำกัด (มหาชน),Industrials,A,BBB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
STA,SRI TRANG AGRO-INDUSTRY PUBLIC COMPANY LIMITED,บริษัท ศรีตรังแอโกรอินดัสทรี จำกัด (มหาชน),Agro & Food Industry,AAA,AAA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
STECON,STECON GROUP PUBLIC COMPANY LIMITED,บริษัท สเตคอน กรุ๊ป จำกัด (มหาชน),Property & Construction,AA,A,,,,,,,,
STGT,SRI TRANG GLOVES (THAILAND) PUBLIC COMPANY LIMITED,บริษัท ศรีตรังโกลฟส์ (ประเทศไทย) จำกัด (มหาชน),Consumer Products,AAA,AAA,Yes,Yes,,,,,,
SUN,SUNSWEET PUBLIC COMPANY LIMITED,บริษัท ซันสวีท จำกัด (มหาชน),Agro & Food Industry,BBB,,,,,,,,,
SUTHA,GOLDEN LIME PUBLIC COMPANY LIMITED,บริษัท สุธากัญจน์ จำกัด (มหาชน),Industrials,AA,A,,,,,,,,
SVOA,SVOA PUBLIC COMPANY LIMITED,บริษัท เอสวีโอเอ จำกัด (มหาชน),Technology,AA,,,,,,,,,
SYMC,SYMPHONY COMMUNICATION,บริษัท ซิมโฟนี่ คอมมูนิเคชั่น จำกัด (มหาชน),Technology,BBB,,,,,,,,,
SYNEX,SYNNEX (THAILAND) PUBLIC COMPANY LIMITED,บริษัท ซินเน็ค (ประเทศไทย) จำกัด (มหาชน),Technology,AA,A,Yes,Yes,Yes,,Yes,,,Yes
SYNTEC,SYNTEC CONSTRUCTION PUBLIC COMPANY LIMITED,บริษัท ซินเท็ค คอนสตรัคชั่น จำกัด (มหาชน),Property & Construction,,A,Yes,Yes,Yes,Yes,Yes,Yes,,
TASCO,TIPCO ASPHALT PUBLIC COMPANY LIMITED,บริษัท ทิปโก้แอสฟัลท์ จำกัด (มหาชน),Property & Construction,AA,,,,Yes,Yes,Yes,,,
TCAP,THANACHART CAPITAL PUBLIC COMPANY LIMITED,บริษัท ทุนธนชาต จำกัด (มหาชน),Financials,AA,A,,,,,,,,
TEGH,THAI EASTERN GROUP HOLDINGS PUBLIC COMPANY LIMITED,บริษัท ไทยอีสเทิร์น กรุ๊ป โฮลดิ้งส์ จำกัด (มหาชน),Agro & Food Industry,AAA,,,,,,,,,
TFG,THAIFOODS GROUP PUBLIC COMPANY LIMITED,บริษัท ไทยฟู้ดส์ กรุ๊ป จำกัด (มหาชน),Agro & Food Industry,AA,A,Yes,Yes,Yes,Yes,,,,
TFMAMA,THAI PRESIDENT FOODS PUBLIC COMPANY LIMITED,บริษัท ไทยเพรซิเดนท์ฟูดส์ จำกัด (มหาชน),Agro & Food Industry,AAA,AAA,Yes,Yes,Yes,Yes,,,,Yes
TGE,THACHANG GREEN ENERGY PUBLIC COMPANY LIMITED,บริษัท ท่าฉาง กรีน เอ็นเนอร์ยี่ จำกัด (มหาชน),Resources,A,,,,,,,,,
TGH,THAI GROUP HOLDINGS PUBLIC COMPANY LIMITED,บริษัท ไทยกรุ๊ป โฮลดิ้งส์ จำกัด (มหาชน),Financials,AA,A,,,,,,,,
THAI,THAI AIRWAYS INTERNATIONAL PUBLIC COMPANY LIMITED,บริษัท การบินไทย จำกัด (มหาชน),Services,,,,,,,,,,Yes
THANA,THANASIRI GROUP PUBLIC COMPANY LIMITED,บริษัท ธนาสิริ กรุ๊ป จำกัด (มหาชน),Property & Construction,BBB,BBB,,,,,,,,
THANI,RATCHTHANI LEASING PUBLIC COMPANY LIMITED,บริษัท ราชธานีลิสซิ่ง จำกัด (มหาชน),Financials,AA,AA,Yes,Yes,,,,,,
THCOM,THAICOM PUBLIC COMPANY LIMITED,บริษัท ไทยคม จำกัด (มหาชน),Technology,AAA,AAA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
THIP,THANTAWAN INDUSTRY PUBLIC COMPANY LIMITED,บริษัท ทานตะวันอุตสาหกรรม จำกัด (มหาชน),Industrials,A,A,Yes,Yes,Yes,Yes,,,,
THREL,THAIRE LIFE ASSURANCE PUBLIC COMPANY LIMITED,บริษัท ไทยรีประกันชีวิต จำกัด (มหาชน),Financials,A,A,Yes,Yes,,,,,,
TIPCO,TIPCO FOODS PUBLIC COMPANY LIMITED,บริษัท ทิปโก้ฟูดส์ จำกัด (มหาชน),Agro & Food Industry,,,,Yes,Yes,,,,,
TISCO,TISCO FINANCIAL GROUP PUBLIC COMPANY LIMITED,บริษัท ทิสโก้ไฟแนนเชียลกรุ๊ป จำกัด (มหาชน),Financials,AAA,AAA,Yes,Yes,Yes,Yes,Yes,Yes,,
TKS,T.K.S. TECHNOLOGIES PUBLIC COMPANY LIMITED,บริษัท ที.เค.เอส. เทคโนโลยี จำกัด (มหาชน),Services,A,A,Yes,,,,,,,
TLI,THAI LIFE INSURANCE PUBLIC COMPANY LIMITED,บริษัท ไทยประกันชีวิต จำกัด (มหาชน),Financials,A,,,,,,,,,
TMILL,T S FLOUR MILL PUBLIC COMPANY LIMITED,บริษัท ที เอส ฟลาวมิลล์ จำกัด (มหาชน),Agro & Food Industry,,,,Yes,,,,,,
TMT,TMT STEEL PUBLIC COMPANY LIMITED,บริษัท ทีเอ็มที สตีล จำกัด (มหาชน),Industrials,AAA,AA,Yes,Yes,Yes,,,,,
TNDT,THAI NONDESTRUCTIVE TESTING PUBLIC COMPANY LIMITED,บริษัท ไทย เอ็น ดี ที จำกัด (มหาชน),Services,,,Yes,,,,,,,
TNL,THANULUX PUBLIC COMPANY LIMITED,บริษัท ธนูลักษณ์ จำกัด (มหาชน),Consumer Products,,,,Yes,,,,,,
TOA,TOA PAINT (THAILAND) PUBLIC COMPANY LIMITED,บริษัท ทีโอเอ เพ้นท์ (ประเทศไทย) จำกัด (มหาชน),Property & Construction,A,A,Yes,Yes,Yes,,,,,
TOG,THAI OPTICAL GROUP PUBLIC COMPANY LIMITED,บริษัท ไทยออพติคอล กรุ๊ป จำกัด (มหาชน),Consumer Products,A,A,Yes,Yes,Yes,,,,,Yes
TOP,THAI OIL PUBLIC COMPANY LIMITED,บริษัท ไทยออยล์ จำกัด (มหาชน),Resources,AAA,AAA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
TPAC,THAI PLASPAC,บริษัท พลาสติค และหีบห่อไทย จำกัด (มหาชน),Industrials,AA,,,,,,,,,
TPBI,TPBI PUBLIC COMPANY LIMITED,บริษัท ทีพีบีไอ จำกัด (มหาชน),Industrials,AAA,AA,Yes,Yes,Yes,,,,,
TPCS,TPCS PUBLIC COMPANY LIMITED,บริษัท ทีพีซีเอส จำกัด (มหาชน),Industrials,A,BBB,Yes,Yes,Yes,,,,,
TPIPL,TPI POLENE PUBLIC COMPANY LIMITED,บริษัท ทีพีไอ โพลีน จำกัด (มหาชน),Property & Construction,AA,AA,Yes,,,,,,,
TPIPP,TPI POLENE POWER PUBLIC COMPANY LIMITED,บริษัท ทีพีไอ โพลีน เพาเวอร์ จำกัด (มหาชน),Resources,AAA,AA,Yes,,,,,,,
TQM,TQM ALPHA PUBLIC COMPANY LIMITED,บริษัท ทีคิวเอ็ม อัลฟา จำกัด (มหาชน),Financials,A,BBB,Yes,Yes,,,,,,
TRUBB,THAI RUBBER LATEX GROUP PUBLIC COMPANY LIMITED,บริษัท ไทยรับเบอร์ลาเท็คซ์กรุ๊ป จำกัด (มหาชน),Agro & Food Industry,AA,,,,,,,,,
TRUE,TRUE CORPORATION PUBLIC COMPANY LIMITED,บริษัท ทรู คอร์ปอเรชั่น จำกัด (มหาชน),Technology,,,,,Yes,Yes,Yes,,,
TSC,THAI STEEL CABLE PUBLIC COMPANY LIMITED,บริษัท ไทยสตีลเคเบิล จำกัด (มหาชน),Industrials,A,A,Yes,Yes,Yes,Yes,Yes,Yes,,
TSTH,TATA STEEL (THAILAND) PUBLIC COMPANY LIMITED,บริษัท ทาทา สตีล (ประเทศไทย) จำกัด (มหาชน),Industrials,A,A,Yes,Yes,Yes,Yes,Yes,Yes,,Yes
TTA,THORESEN THAI AGENCIES PUBLIC COMPANY LIMITED,บริษัท โทรีเซนไทย เอเยนต์ซีส์ จำกัด (มหาชน),Services,AA,AA,Yes,,,,,,,
TTB,TMBTHANACHART BANK PUBLIC COMPANY LIMITED,ธนาคารทหารไทยธนชาต จำกัด (มหาชน),Financials,AAA,AA,Yes,Yes,Yes,Yes,Yes,,,
TTCL,TTCL PUBLIC COMPANY LIMITED,บริษัท ทีทีซีแอล จำกัด (มหาชน),Property & Construction,A,A,Yes,Yes,Yes,Yes,Yes,Yes,,
TTW,TTW PUBLIC COMPANY LIMITED,บริษัท ทีทีดับบลิว จำกัด (มหาชน),Resources,AA,AA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
TU,THAI UNION GROUP PUBLIC COMPANY LIMITED,บริษัท ไทยยูเนี่ยน กรุ๊ป จำกัด (มหาชน),Agro & Food Industry,A,,,,Yes,Yes,,Yes,Yes,Yes
TVDH,TVD HOLDINGS PUBLIC COMPANY LIMITED,บริษัท ทีวีดี โฮลดิ้งส์ จำกัด (มหาชน) ,Services,,BBB,Yes,Yes,Yes,,,Yes,Yes,
TVO,THAI VEGETABLE OIL PUBLIC COMPANY LIMITED,บริษัท น้ำมันพืชไทย จำกัด (มหาชน),Agro & Food Industry,AAA,AA,Yes,Yes,Yes,Yes,Yes,,Yes,
TWPC,THAI WAH PUBLIC COMPANY LIMITED,บริษัท ไทยวา จำกัด (มหาชน),Agro & Food Industry,A,A,Yes,Yes,Yes,Yes,,,,
UAC,UAC GLOBAL PUBLIC COMPANY LIMITED,บริษัท ยูเอซี โกลบอล จำกัด (มหาชน),Industrials,A,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
UBE,UBON BIO ETHANOL PUBLIC COMPANY LIMITED,บริษัท อุบล ไบโอ เอทานอล จำกัด (มหาชน),Resources,A,A,,,,,,,,
UKEM,UNION PETROCHEMICAL PUBLIC COMPANY LIMITED,บริษัท ยูเนี่ยน ปิโตรเคมีคอล จำกัด (มหาชน),Industrials,,,Yes,,,,,,,
UPF,UNION PIONEER PUBLIC COMPANY LIMITED,บริษัท ยูเนี่ยนไพโอเนียร์ จำกัด (มหาชน),Consumer Products,BBB,BBB,,,,,,,,
UPOIC,UNITED PALM OIL INDUSTRY PUBLIC COMPANY LIMITED,บริษัท สหอุตสาหกรรมน้ำมันปาล์ม จำกัด (มหาชน),Agro & Food Industry,BBB,,,,,,,,,
VGI,VGI PUBLIC COMPANY LIMITED,บริษัท วีจีไอ จำกัด (มหาชน),Services,AA,AA,Yes,Yes,,,,,,
VIBHA,VIBHAVADI MEDICAL CENTER PUBLIC COMPANY LIMITED,บริษัท โรงพยาบาลวิภาวดี จำกัด (มหาชน),Services,BBB,,,,,,,,,
VIH,SRIVICHAIVEJVIVAT PUBLIC COMPANY LIMITED,บริษัท ศรีวิชัยเวชวิวัฒน์ จำกัด (มหาชน),Services,A,,,,,,,,,
WACOAL,THAI WACOAL PUBLIC COMPANY LIMITED,บริษัท ไทยวาโก้ จำกัด (มหาชน),Consumer Products,A,A,,,Yes,,,,,
WHA,WHA CORPORATION PUBLIC COMPANY LIMITED,บริษัท ดับบลิวเอชเอ คอร์ปอเรชั่น จำกัด (มหาชน),Property & Construction,AAA,AAA,Yes,Yes,Yes,,,,,
WHAUP,WHA UTILITIES AND POWER PUBLIC COMPANY LIMITED,บริษัท ดับบลิวเอชเอ ยูทิลิตี้ส์ แอนด์ พาวเวอร์ จำกัด (มหาชน),Resources,AAA,AAA,Yes,Yes,Yes,,,,,
WICE,WICE LOGISTICS PUBLIC COMPANY LIMITED,บริษัท ไวส์ โลจิสติกส์ จำกัด (มหาชน),Services,AA,AA,,,,,,,,
XO,EXOTIC FOOD PUBLIC COMPANY LIMITED,บริษัท เอ็กโซติค ฟู้ด จำกัด (มหาชน),Agro & Food Industry,A,,,,,,,,,
ZEN,ZEN CORPORATION GROUP PUBLIC COMPANY LIMITED,บริษัท เซ็น คอร์ปอเรชั่น กรุ๊ป จำกัด (มหาชน),Agro & Food Industry,AA,AA,Yes,Yes,,,,,,
